  c = i times   0.10000000000000E+03
 l =      0
     0.00000000000000        0.29741515367502E+01     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00  13
    10.00000000000000        0.65347977373456E+00     0.11318898587337E+02
                             0.00000000000000E+00     0.00000000000000E+00  12
    20.00000000000000        0.72595957991322E-02     0.24765110559989E+00
                             0.00000000000000E+00     0.00000000000000E+00  10
    30.00000000000000        0.46775216899801E-05     0.23324772276463E-03
                             0.00000000000000E+00     0.00000000000000E+00   7
    40.00000000000000        0.21872035425564E-09     0.14019150615914E-07
                             0.00000000000000E+00     0.00000000000000E+00   3
    50.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      1
     0.00000000000000        0.29741515367502E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.41901790398881E+02  13
    10.00000000000000        0.65347977373456E+00     0.11318898587337E+02
                             0.16109863233237E+01     0.18626172525437E+02  12
    20.00000000000000        0.72595957991319E-02     0.24765110559989E+00
                             0.36071564042534E-01     0.11250488448253E+01  10
    30.00000000000000        0.46775216902074E-05     0.23324772276459E-03
                             0.35322132830944E-04     0.16906915584141E-02   7
    40.00000000000000        0.21872053463402E-09     0.14019151159738E-07
                             0.22438845424958E-08     0.14033138458499E-06   3
    50.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      2
     0.00000000000000        0.20949994619139E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.41901790398881E+02  12
    10.00000000000000       -0.23372160121992E+01    -0.82606065115820E+01
                             0.16109863233237E+01     0.18626172525437E+02  12
    20.00000000000000       -0.12114281811471E+00    -0.33941752981510E+01
                             0.36071564042534E-01     0.11250488448253E+01  11
    30.00000000000000       -0.18460966504545E-03    -0.84537210183610E-02
                             0.35322132831401E-04     0.16906915584133E-02   8
    40.00000000000000       -0.16064238801541E-07    -0.97915249172833E-06
                             0.22438851404468E-08     0.14033138432722E-06   4
    50.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      3
     0.00000000000000        0.20949994619139E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.50989748479044E+02  12
    10.00000000000000       -0.23372160121992E+01    -0.82606065115820E+01
                            -0.19907627069913E+01     0.22493543530294E+02  12
    20.00000000000000       -0.12114281811471E+00    -0.33941752981510E+01
                            -0.31554158672454E+00    -0.77391061835141E+01  12
    30.00000000000000       -0.18460966504467E-03    -0.84537210183604E-02
                            -0.77009216988250E-03    -0.33606007744205E-01   9
    40.00000000000000       -0.16064238524353E-07    -0.97915248652848E-06
                            -0.92625555031493E-07    -0.54957047249473E-05   5
    50.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      4
     0.00000000000000        0.18071765459504E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.50989748479044E+02  12
    10.00000000000000        0.40929001329307E+00    -0.48499577574108E+02
                            -0.19907627069913E+01     0.22493543530294E+02  12
    20.00000000000000        0.67042324377094E+00     0.13811573178620E+02
                            -0.31554158672454E+00    -0.77391061835141E+01  12
    30.00000000000000        0.27154597659381E-02     0.11240206748695E+00
                            -0.77009216988271E-03    -0.33606007744207E-01   9
    40.00000000000000        0.45600090044123E-06     0.26300990432421E-04
                            -0.92625555190604E-07    -0.54957047272292E-05   5
    50.00000000000000        0.57942534991681E-11     0.41166595453452E-09
                             0.00000000000000E+00     0.00000000000000E+00   0
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      5
     0.00000000000000        0.18071765459504E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.56633542723655E+02  12
    10.00000000000000        0.40929001329307E+00    -0.48499577574108E+02
                            -0.13292882594715E+01    -0.35159837262535E+02  12
    20.00000000000000        0.67042324377094E+00     0.13811573178620E+02
                             0.11856998013090E+01     0.19032796669015E+02  12
    30.00000000000000        0.27154597659379E-02     0.11240206748695E+00
                             0.83450272513343E-02     0.32580578130865E+00  10
    40.00000000000000        0.45600090049360E-06     0.26300990431923E-04
                             0.19785061342221E-05     0.11076563508677E-03   6
    50.00000000000000        0.57942714840221E-11     0.41166573249350E-09
                             0.32767622994696E-10     0.22828901471430E-08   1
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      6
     0.00000000000000        0.16430205347828E+01     0.00000000000000E+00
                             0.00000000000000E+00    -0.56633542723655E+02  13
    10.00000000000000        0.16838746598162E+01    -0.16954766502623E+02
                            -0.13292882594715E+01    -0.35159837262535E+02  12
    20.00000000000000       -0.17490727369718E+01    -0.18402936181290E+02
                             0.11856998013090E+01     0.19032796669015E+02  12
    30.00000000000000       -0.22766355723281E-01    -0.83249894330967E+00
                             0.83450272513369E-02     0.32580578130864E+00  10
    40.00000000000000       -0.77169788766279E-05    -0.41864755961397E-03
                             0.19785061359070E-05     0.11076563509872E-03   7
    50.00000000000000       -0.16740885102685E-09    -0.11429568304961E-07
                             0.32767492082318E-10     0.22828965263951E-08   2
    60.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    70.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    80.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
    90.00000000000000        0.00000000000000E+00     0.00000000000000E+00
                             0.00000000000000E+00     0.00000000000000E+00   0
 l =      7
